distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
4.80000,-1.00000,14.00000,60.00000,37.25626,1.51000
4.80000,-0.50000,13.10000,60.00000,32.76572,1.40000
4.80000,0.00000,12.30000,60.00000,29.29517,1.29000
4.80000,0.50000,11.60000,60.00000,26.87441,1.20000
4.80000,1.00000,11.00000,60.50000,25.35494,1.12000
4.80000,1.50000,10.50000,62.00000,24.58579,1.07000
4.80000,2.00000,10.40000,68.50000,23.97413,1.13000
4.80000,2.50000,9.90000,69.50000,23.32615,1.06000
5.30000,-2.50000,18.10000,60.00000,63.61095,2.01000
5.30000,-2.00000,16.90000,60.00000,55.54960,1.87000
5.30000,-1.50000,15.70000,60.00000,47.92453,1.73000
5.30000,-1.00000,14.70000,60.00000,42.17834,1.61000
5.30000,-0.50000,13.80000,60.00000,37.48764,1.49000
5.30000,0.00000,12.90000,60.00000,33.19041,1.38000
5.30000,0.50000,12.20000,60.50000,30.48093,1.29000
5.30000,1.00000,11.50000,60.00000,28.29265,1.19000
5.30000,1.50000,10.90000,60.00000,27.21318,1.10000
5.30000,2.00000,10.70000,65.50000,26.72354,1.15000
5.30000,2.50000,10.40000,69.00000,25.97548,1.14000
5.80000,-2.50000,18.90000,60.00000,70.14284,2.11000
5.80000,-2.00000,17.60000,60.00000,61.03293,1.96000
5.80000,-1.50000,16.40000,60.00000,53.18863,1.82000
5.80000,-1.00000,15.30000,60.00000,46.52519,1.69000
5.80000,-0.50000,14.40000,60.00000,41.68712,1.58000
5.80000,0.00000,13.50000,60.00000,37.17473,1.46000
5.80000,0.50000,12.70000,60.00000,33.72872,1.36000
5.80000,1.00000,12.00000,60.00000,31.33078,1.27000
5.80000,1.50000,11.40000,60.00000,29.96641,1.18000
5.80000,2.00000,10.90000,61.00000,29.28977,1.13000
5.80000,2.50000,10.60000,65.00000,28.66695,1.13000
6.30000,-2.50000,19.60000,60.00000,75.99768,2.20000
6.30000,-2.00000,18.30000,60.00000,66.66423,2.05000
6.30000,-1.50000,17.00000,60.00000,57.81721,1.90000
6.30000,-1.00000,16.00000,60.00000,51.71581,1.78000
6.30000,-0.50000,15.00000,60.00000,45.98547,1.66000
6.30000,0.00000,14.10000,60.00000,41.33238,1.55000
6.30000,0.50000,13.30000,60.00000,37.70703,1.45000
6.30000,1.00000,12.60000,60.50000,35.00414,1.36000
6.30000,1.50000,11.90000,60.00000,32.88926,1.26000
6.30000,2.00000,11.40000,61.00000,32.06846,1.21000
6.30000,2.50000,11.00000,63.50000,31.33868,1.18000
